,Suburb,Address,Rooms,Type,Price,Distance,Postcode,Bathroom,Car,Landsize,CouncilArea,Lattitude,Longtitude,Regionname
5657,Kealba,16 Driscolls Rd,3,h,461000.0,15.0,3021,1,0,534,Brimbank City Council,-37.7294,144.8216,Western Metropolitan
5658,Kealba,44 Stenson Rd,4,h,751000.0,15.0,3021,2,2,649,Brimbank City Council,-37.7382,144.8292,Western Metropolitan
5659,Kealba,26 Calverton Rd,4,h,500000.0,15.0,3021,1,2,574,Brimbank City Council,-37.7336,144.8226,Western Metropolitan
5660,Kealba,4 Woolstone Cl,4,h,560000.0,15.0,3021,2,2,612,Brimbank City Council,-37.7378,144.8264,Western Metropolitan
5661,Kealba,35 Georgia Pl,3,h,320000.0,15.0,3021,2,1,119,Brimbank City Council,-37.7328,144.8194,Western Metropolitan
5662,Kealba,22 Valewood Dr,3,h,450000.0,15.0,3021,1,2,548,Brimbank City Council,-37.7334,144.8254,Western Metropolitan
5663,Keilor East,16 Border Dr,3,h,703000.0,12.8,3033,2,2,683,Brimbank City Council,-37.7402,144.8591,Western Metropolitan
5665,Keilor East,121 Sterling Dr,3,h,650000.0,12.8,3033,1,1,538,Brimbank City Council,-37.7441,144.8503,Western Metropolitan
5666,Keilor East,3A Cudgewa Pl,3,t,770000.0,12.8,3033,2,1,331,Brimbank City Council,-37.7325,144.8621,Western Metropolitan
5667,Keilor East,2/64 Dinah Pde,3,t,480000.0,12.8,3033,2,1,184,Brimbank City Council,-37.7424,144.8639,Western Metropolitan
5668,Keilor East,14 Hawthorn Ct,3,h,590000.0,12.8,3033,1,2,610,Brimbank City Council,-37.7455,144.8484,Western Metropolitan
5669,Keilor East,16 Roberts St,4,h,900000.0,12.8,3033,2,1,289,Brimbank City Council,-37.7506,144.8689,Western Metropolitan
5671,Keilor East,16 Drew St,3,h,935000.0,12.8,3033,1,2,662,Brimbank City Council,-37.738,144.869,Western Metropolitan
5672,Keilor East,1 Giuliano Ct,3,h,700000.0,12.8,3033,2,2,288,Brimbank City Council,-37.7514,144.8731,Western Metropolitan
5674,Keilor East,20 Prospect Dr,3,h,675000.0,12.8,3033,2,1,549,Brimbank City Council,-37.7496,144.8589,Western Metropolitan
5675,Keilor East,15 Viewbank Dr,4,h,816000.0,12.8,3033,2,1,540,Brimbank City Council,-37.7482,144.877,Western Metropolitan
5677,Keilor East,74 Lincoln Dr,4,h,845000.0,12.8,3033,1,1,622,Brimbank City Council,-37.7425,144.8683,Western Metropolitan
5678,Keilor East,154 Milleara Rd,3,h,725000.0,12.8,3033,1,1,657,Brimbank City Council,-37.7411,144.8638,Western Metropolitan
5680,Keilor East,27 Judith St,3,h,772000.0,12.8,3033,2,3,672,Brimbank City Council,-37.7465,144.876,Western Metropolitan
5682,Keilor East,9a The Crossway,3,h,650000.0,12.8,3033,2,2,3977,Brimbank City Council,-37.747,144.8663,Western Metropolitan
5683,Keilor East,57 Wonganella Dr,3,h,757000.0,12.8,3033,2,1,532,Brimbank City Council,-37.7295,144.8644,Western Metropolitan
5685,Keilor East,86 Prospect Dr,3,h,690000.0,12.8,3033,2,2,568,Brimbank City Council,-37.7469,144.8526,Western Metropolitan
5686,Keilor East,47 Roberts St,3,t,785000.0,12.8,3033,2,2,610,Brimbank City Council,-37.7504,144.8645,Western Metropolitan
5687,Keilor East,4a Cohen St,3,h,583000.0,12.8,3033,1,1,412,Brimbank City Council,-37.7459,144.8643,Western Metropolitan
5688,Keilor East,45 Nyah St,4,h,920000.0,12.8,3033,2,2,603,Brimbank City Council,-37.7323,144.8683,Western Metropolitan
5689,Keilor East,15 Craig St,3,h,880000.0,12.8,3033,1,2,584,Brimbank City Council,-37.7435,144.8798,Western Metropolitan
5690,Keilor East,17/24 Craig St,3,u,580000.0,12.8,3033,2,2,112,Brimbank City Council,-37.7434,144.881,Western Metropolitan
5691,Keilor East,4 Milleara Rd,4,t,886000.0,12.8,3033,3,1,322,Brimbank City Council,-37.7293,144.8659,Western Metropolitan
5692,Keilor East,7 Neville St,4,h,970000.0,12.8,3033,2,4,659,Brimbank City Council,-37.7467,144.8683,Western Metropolitan
5693,Keilor East,1 Nicholas Ct,4,h,920000.0,12.8,3033,2,2,745,Brimbank City Council,-37.7479,144.8805,Western Metropolitan
5694,Keilor East,114 Prospect Dr,3,h,625000.0,12.8,3033,1,2,539,Brimbank City Council,-37.7452,144.8511,Western Metropolitan
5695,Keilor East,32 Wyong St,3,h,825000.0,12.8,3033,3,1,318,Brimbank City Council,-37.7338,144.8662,Western Metropolitan
5696,Keilor East,122 Prospect Dr,3,h,695000.0,12.8,3033,1,1,564,Brimbank City Council,-37.7445,144.8511,Western Metropolitan
5697,Keilor East,8 Nyah St,3,h,915000.0,12.8,3033,1,2,610,Brimbank City Council,-37.7359,144.868,Western Metropolitan
5698,Keilor East,117 Brees Rd,3,h,976000.0,12.8,3033,3,2,605,Brimbank City Council,-37.7459,144.8788,Western Metropolitan
5699,Keilor East,2 Hilltop Ct,2,t,520000.0,12.8,3033,2,2,54,Brimbank City Council,-37.7384,144.8768,Western Metropolitan
5700,Keilor East,61 Rachelle Rd,4,h,1420000.0,12.8,3033,2,2,613,Brimbank City Council,-37.7453,144.8721,Western Metropolitan
5702,Keilor East,21 Woorite Pl,3,h,900000.0,12.8,3033,1,1,713,Brimbank City Council,-37.7301,144.8671,Western Metropolitan
5703,Keilor East,18a Berembong Dr,2,u,470000.0,12.8,3033,1,1,218,Brimbank City Council,-37.7337,144.8617,Western Metropolitan
5706,Keilor East,5 Clover Ct,5,h,1100000.0,12.8,3033,2,2,781,Brimbank City Council,-37.7497,144.8746,Western Metropolitan
5707,Keilor East,2/222 Milleara Rd,3,u,470000.0,12.8,3033,1,1,254,Brimbank City Council,-37.748,144.863,Western Metropolitan
5708,Keilor East,1/36 Phillip Rd,2,h,380000.0,12.8,3033,1,1,116,Brimbank City Council,-37.748,144.8696,Western Metropolitan
5709,Keilor East,2/49 Quinn Gr,3,u,560000.0,12.8,3033,1,2,352,Brimbank City Council,-37.7459,144.8673,Western Metropolitan
5710,Keilor East,4 Trent Ct,4,h,1010000.0,12.8,3033,2,2,776,Brimbank City Council,-37.7502,144.8745,Western Metropolitan
5711,Keilor East,1 Harley Ct,3,h,740000.0,12.8,3033,1,2,684,Brimbank City Council,-37.7426,144.8599,Western Metropolitan
5713,Keilor East,564 Buckley St,3,h,630000.0,12.8,3033,2,1,221,Brimbank City Council,-37.7504,144.8594,Western Metropolitan
5716,Keilor East,13 Pennington St,4,h,835000.0,12.8,3033,2,3,708,Brimbank City Council,-37.7452,144.8652,Western Metropolitan
5717,Keilor East,1/31 Surrey Dr,3,t,705000.0,12.8,3033,2,1,440,Brimbank City Council,-37.7517,144.8776,Western Metropolitan
5720,Keilor East,7 Park Dr,3,t,680000.0,12.8,3033,2,2,224,Brimbank City Council,-37.749,144.8599,Western Metropolitan
5721,Keilor East,16 Bernard Ct,4,h,871000.0,12.8,3033,2,2,570,Brimbank City Council,-37.7361,144.8691,Western Metropolitan
5724,Keilor East,67 Prospect Dr,5,h,808000.0,12.8,3033,2,2,561,Brimbank City Council,-37.748,144.8552,Western Metropolitan
5725,Keilor East,37 Roberts St,3,h,891000.0,12.8,3033,3,1,292,Brimbank City Council,-37.7505,144.8657,Western Metropolitan
5727,Keilor East,83 Wyong St,3,h,785000.0,12.8,3033,1,2,606,Brimbank City Council,-37.7311,144.8663,Western Metropolitan
5729,Keilor East,35 Gungarlan Dr,3,h,695000.0,12.8,3033,2,2,716,Brimbank City Council,-37.734,144.8593,Western Metropolitan
5730,Keilor East,21 Henry St,4,t,807000.0,12.8,3033,2,2,319,Brimbank City Council,-37.7393,144.8648,Western Metropolitan
5731,Keilor East,1/67 Milleara Rd,2,u,502000.0,12.8,3033,1,2,0,Brimbank City Council,-37.7346,144.8646,Western Metropolitan
5732,Keilor East,54 Norwood Dr,4,h,770000.0,12.8,3033,2,2,546,Brimbank City Council,-37.7428,144.8536,Western Metropolitan
5733,Keilor East,81 Quinn Gr,5,h,700000.0,12.8,3033,2,2,629,Brimbank City Council,-37.7423,144.869,Western Metropolitan
5734,Keilor East,94 Sterling Dr,3,h,570000.0,12.8,3033,1,2,542,Brimbank City Council,-37.7408,144.8553,Western Metropolitan
5736,Keilor East,23 Chappell Pl,4,h,830000.0,12.8,3033,2,2,686,Brimbank City Council,-37.7394,144.8628,Western Metropolitan
5737,Keilor East,23 Prospect Dr,3,h,600000.0,12.8,3033,1,1,565,Brimbank City Council,-37.7498,144.8585,Western Metropolitan
5738,Keilor East,20 Keith Gr,3,h,825000.0,12.8,3033,2,1,630,Brimbank City Council,-37.7378,144.8705,Western Metropolitan
5739,Keilor East,89 Sterling Dr,4,h,680000.0,12.8,3033,2,2,545,Brimbank City Council,-37.742,144.8523,Western Metropolitan
5742,Keilor East,13 Wonganella Dr,3,h,720000.0,12.8,3033,1,2,639,Brimbank City Council,-37.7334,144.8638,Western Metropolitan
5743,Keilor East,24 Yallop Ct,4,h,735000.0,12.8,3033,2,2,547,Brimbank City Council,-37.7381,144.8554,Western Metropolitan
5745,Keilor East,83 Milleara Rd,3,h,875000.0,12.8,3033,2,2,928,Brimbank City Council,-37.7362,144.8643,Western Metropolitan
5746,Keilor East,40 Borva Dr,3,h,601200.0,12.8,3033,1,1,554,Brimbank City Council,-37.7303,144.8636,Western Metropolitan
5748,Keilor East,171 Sterling Dr,3,h,695000.0,12.8,3033,1,3,0,Brimbank City Council,-37.7483,144.85,Western Metropolitan
5749,Keilor East,60 Wonganella Dr,3,h,680000.0,12.8,3033,1,2,558,Brimbank City Council,-37.7305,144.8646,Western Metropolitan
5750,Keilor East,92A Brees Rd,3,t,660000.0,12.8,3033,2,1,265,Brimbank City Council,-37.7444,144.8763,Western Metropolitan
5751,Keilor East,35/24 Craig St,3,h,650000.0,12.8,3033,2,2,176,Brimbank City Council,-37.7432,144.8816,Western Metropolitan
5753,Keilor East,61 Nyah St,3,h,900000.0,12.8,3033,1,2,600,Brimbank City Council,-37.7312,144.8685,Western Metropolitan
5754,Keilor East,5 Viewbank Dr,3,h,823000.0,12.8,3033,1,2,538,Brimbank City Council,-37.7486,144.8778,Western Metropolitan
5755,Keilor East,38 Clarks Rd,4,h,847000.0,12.8,3033,3,2,579,Brimbank City Council,-37.7368,144.8689,Western Metropolitan
5757,Keilor East,26 Norwood Dr,3,h,705000.0,12.8,3033,1,2,616,Brimbank City Council,-37.7449,144.8533,Western Metropolitan
5758,Keilor East,2/6 Shelley St,3,t,710000.0,12.8,3033,2,1,320,Brimbank City Council,-37.7415,144.8668,Western Metropolitan
5760,Keilor East,23 Viewbank Dr,4,h,732000.0,12.8,3033,2,2,544,Brimbank City Council,-37.7479,144.8763,Western Metropolitan
5761,Keilor East,8 Alwyn Ct,3,h,715000.0,12.8,3033,2,4,598,Brimbank City Council,-37.7487,144.8526,Western Metropolitan
5762,Kensington,4 Coopers La,3,h,785000.0,4.2,3031,1,1,258,Melbourne City Council,-37.7906,144.924,Northern Metropolitan
5763,Kensington,65 Gatehouse Dr,3,h,852000.0,4.2,3031,1,1,166,Melbourne City Council,-37.7929,144.9197,Northern Metropolitan
5764,Kensington,35 Henry St,3,h,1037000.0,4.2,3031,1,1,188,Melbourne City Council,-37.7953,144.9275,Northern Metropolitan
5765,Kensington,8 Bent St,2,h,775000.0,4.2,3031,1,0,150,Melbourne City Council,-37.7963,144.935,Northern Metropolitan
5766,Kensington,14 Hardiman St,3,h,1470000.0,4.2,3031,1,1,199,Melbourne City Council,-37.7957,144.932,Northern Metropolitan
5767,Kensington,607/255 Racecourse Rd,2,u,630000.0,4.2,3031,2,1,0,Melbourne City Council,-37.7886,144.9328,Northern Metropolitan
5768,Kensington,5 Rigby La,3,t,845000.0,4.2,3031,2,1,132,Melbourne City Council,-37.7907,144.9247,Northern Metropolitan
5769,Kensington,403/72 Altona St,2,u,492500.0,4.2,3031,1,1,0,Melbourne City Council,-37.7974,144.9261,Northern Metropolitan
5770,Kensington,2/65 Bayswater Rd,2,u,420000.0,4.2,3031,1,1,0,Melbourne City Council,-37.794,144.923,Northern Metropolitan
5771,Kensington,1 Scarborough Pl,2,t,650000.0,4.2,3031,1,1,79,Melbourne City Council,-37.7914,144.9344,Northern Metropolitan
5773,Kensington,56 Tennyson St,3,h,1050000.0,4.2,3031,1,1,274,Melbourne City Council,-37.7984,144.929,Northern Metropolitan
5774,Kensington,61 Bangalore St,3,h,1291000.0,4.2,3031,1,1,416,Melbourne City Council,-37.7946,144.924,Northern Metropolitan
5775,Kensington,1/16 Mawbey St,2,u,420000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan
5778,Kensington,47 Barnett St,3,h,961000.0,4.2,3031,1,1,235,Melbourne City Council,-37.7925,144.9323,Northern Metropolitan
5779,Kensington,72 Bayswater Rd,3,h,1271000.0,4.2,3031,1,1,284,Melbourne City Council,-37.7938,144.9228,Northern Metropolitan
5780,Kensington,67 Collett St,3,h,1010000.0,4.2,3031,1,0,234,Melbourne City Council,-37.7923,144.9332,Northern Metropolitan
5781,Kensington,4/130 Kensington Rd,2,t,750000.0,4.2,3031,1,1,325,Melbourne City Council,-37.7976,144.9213,Northern Metropolitan
5782,Kensington,15 Ormond St,4,h,1675000.0,4.2,3031,2,2,279,Melbourne City Council,-37.797,144.9303,Northern Metropolitan
5785,Kensington,10 Altona St,2,h,905000.0,4.2,3031,2,1,138,Melbourne City Council,-37.799,144.9276,Northern Metropolitan
5787,Kensington,70 Hardiman St,2,h,960000.0,4.2,3031,1,1,174,Melbourne City Council,-37.7959,144.9343,Northern Metropolitan
5788,Kensington,94 McConnell St,2,h,1031000.0,4.2,3031,1,1,163,Melbourne City Council,-37.7929,144.9287,Northern Metropolitan
5789,Kensington,59 The Crescent,3,t,918000.0,4.2,3031,2,1,788,Melbourne City Council,-37.7938,144.9186,Northern Metropolitan
5790,Kensington,13 Youlden St,3,h,870000.0,4.2,3031,1,1,211,Melbourne City Council,-37.7891,144.926,Northern Metropolitan
5791,Kensington,41 Barnett St,3,h,1165000.0,4.2,3031,1,0,239,Melbourne City Council,-37.7923,144.9324,Northern Metropolitan
5792,Kensington,11 Nottingham St,5,h,1710000.0,4.2,3031,2,2,566,Melbourne City Council,-37.7893,144.933,Northern Metropolitan
5794,Kensington,107/88 Altona St,1,u,360000.0,4.2,3031,1,1,4267,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan
5795,Kensington,39 Henry St,3,h,1455000.0,4.2,3031,1,0,275,Melbourne City Council,-37.7954,144.9274,Northern Metropolitan
5796,Kensington,114/71 Henry St,1,u,365000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan
5797,Kensington,28/18 Mawbey St,3,u,551000.0,4.2,3031,1,1,4440,Melbourne City Council,-37.7898,144.9233,Northern Metropolitan
5798,Kensington,118/80 Ormond St,2,u,442000.0,4.2,3031,2,1,3448,Melbourne City Council,-37.7976,144.9285,Northern Metropolitan
5799,Kensington,51 Rankins Rd,2,h,765000.0,4.2,3031,1,2,158,Melbourne City Council,-37.7902,144.9319,Northern Metropolitan
5801,Kensington,407/72 Altona St,2,u,515000.0,4.2,3031,1,1,3957,Melbourne City Council,-37.7974,144.9261,Northern Metropolitan
5803,Kensington,17/29 Bendall St,3,u,570000.0,4.2,3031,1,2,0,Melbourne City Council,-37.7897,144.9239,Northern Metropolitan
5804,Kensington,119/71 Henry St,1,u,370000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7961,144.9261,Northern Metropolitan
5805,Kensington,21 Bayswater Rd,2,h,1005000.0,4.2,3031,1,0,274,Melbourne City Council,-37.7931,144.9247,Northern Metropolitan
5807,Kensington,109 Rankins Rd,2,h,1234500.0,4.2,3031,2,2,169,Melbourne City Council,-37.7922,144.9316,Northern Metropolitan
5808,Kensington,11/33 Rankins Rd,2,u,666000.0,4.2,3031,1,2,1111,Melbourne City Council,-37.7896,144.9321,Northern Metropolitan
5812,Kensington,32 Epsom Rd,2,h,825000.0,4.2,3031,1,1,211,Melbourne City Council,-37.7925,144.9264,Northern Metropolitan
5813,Kensington,33 Rourke La,2,t,770000.0,4.2,3031,2,1,0,Melbourne City Council,-37.7937,144.9169,Northern Metropolitan
5815,Kensington,12 Hardiman St,3,h,1135000.0,4.2,3031,1,0,0,Melbourne City Council,-37.7957,144.932,Northern Metropolitan
5816,Kensington,36 The Crescent,4,h,975000.0,4.2,3031,3,1,0,Melbourne City Council,-37.7941,144.919,Northern Metropolitan
5817,Kensington,14 Altona St,2,t,812000.0,4.2,3031,1,0,132,Melbourne City Council,-37.7989,144.9275,Northern Metropolitan
5818,Kensington,11 Nottingham St,5,h,1900000.0,4.2,3031,2,2,566,Melbourne City Council,-37.7893,144.933,Northern Metropolitan
5820,Kensington,13/26 Barnett St,1,u,445000.0,4.2,3031,1,0,0,Melbourne City Council,-37.7913,144.9323,Northern Metropolitan
5821,Kensington,38 Rourke La,2,h,732000.0,4.2,3031,2,1,94,Melbourne City Council,-37.7934,144.9166,Northern Metropolitan
5822,Kensington,33 Barnett St,3,h,1260000.0,4.2,3031,2,2,250,Melbourne City Council,-37.792,144.9324,Northern Metropolitan
5823,Kensington,51 Gatehouse Dr,3,h,1000000.0,4.2,3031,2,2,211,Melbourne City Council,-37.7926,144.9197,Northern Metropolitan
5824,Kensington,26 Hopetoun St,2,h,1155000.0,4.2,3031,1,1,197,Melbourne City Council,-37.7918,144.9264,Northern Metropolitan
5825,Kensington,25 Rogan La,2,t,700000.0,4.2,3031,1,3,62,Melbourne City Council,-37.7917,144.9231,Northern Metropolitan
5826,Kensington,57 Eastwood St,3,h,813500.0,4.2,3031,1,1,165,Melbourne City Council,-37.7907,144.9303,Northern Metropolitan
5827,Kensington,7/51 Epsom Rd,2,u,526000.0,4.2,3031,0,0,0,Melbourne City Council,-37.7919,144.9253,Northern Metropolitan
5828,Kensington,148b Kensington Rd,3,t,790000.0,4.2,3031,2,2,1181,Melbourne City Council,-37.7982,144.9202,Northern Metropolitan
5829,Kensington,42 McCracken St,4,h,1365000.0,4.2,3031,2,1,242,Melbourne City Council,-37.7913,144.9275,Northern Metropolitan
5830,Kensington,66 Parsons St,2,t,700000.0,4.2,3031,2,1,324,Melbourne City Council,-37.7903,144.9345,Northern Metropolitan
5831,Kensington,8/33 Rankins Rd,1,u,370000.0,4.2,3031,1,2,0,Melbourne City Council,-37.7896,144.9321,Northern Metropolitan
5832,Kensington,49 Robertson St,3,h,1230000.0,4.2,3031,1,1,312,Melbourne City Council,-37.793,144.934,Northern Metropolitan
5835,Kensington,208/465 MacAulay Rd,2,u,460000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7948,144.9314,Northern Metropolitan
5836,Kensington,1/16 Mawbey St,2,u,395000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7899,144.9231,Northern Metropolitan
5837,Kensington,28 Pridham St,5,h,1001000.0,4.2,3031,1,0,301,Melbourne City Council,-37.7896,144.9307,Northern Metropolitan
5838,Kensington,123 Rankins Rd,2,h,850000.0,4.2,3031,1,1,169,Melbourne City Council,-37.7925,144.9315,Northern Metropolitan
5843,Kensington,55 Epsom Rd,3,h,1335000.0,4.2,3031,1,3,459,Melbourne City Council,-37.7917,144.9251,Northern Metropolitan
5845,Kensington,5 Rogan La,2,h,868000.0,4.2,3031,1,1,97,Melbourne City Council,-37.7921,144.9234,Northern Metropolitan
5846,Kensington,25 Chelmsford St,2,h,960000.0,4.2,3031,1,0,179,Melbourne City Council,-37.7963,144.9327,Northern Metropolitan
5847,Kensington,1/5 Wight St,2,t,773000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7937,144.9295,Northern Metropolitan
5848,Kensington,111/18 Bent St,2,u,631090.0,4.2,3031,2,1,2136,Melbourne City Council,-37.7956,144.935,Northern Metropolitan
5850,Kensington,10/2 Howlett St,2,u,410000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7897,144.9228,Northern Metropolitan
5852,Kensington,301/84 Altona St,2,u,425000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan
5854,Kensington,68 Hardiman St,2,h,1211000.0,4.2,3031,1,1,183,Melbourne City Council,-37.7959,144.9342,Northern Metropolitan
5855,Kensington,8/37 Kensington Rd,2,u,506000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7952,144.9262,Northern Metropolitan
5856,Kensington,64 Hardiman St,2,h,806000.0,4.2,3031,1,1,173,Melbourne City Council,-37.7959,144.9341,Northern Metropolitan
5860,Kensington,61 Willis St,3,h,829000.0,4.2,3031,2,2,84,Melbourne City Council,-37.7935,144.9187,Northern Metropolitan
5861,Kensington,10 Mulgrave St,2,h,786000.0,4.2,3031,1,0,149,Melbourne City Council,-37.7908,144.9309,Northern Metropolitan
5862,Kensington,208/86 Altona St,2,u,458000.0,4.2,3031,1,1,0,Melbourne City Council,-37.7966,144.9254,Northern Metropolitan
5863,Kew,13 Annadale St,3,h,1635000.0,5.6,3101,1,2,396,Boroondara City Council,-37.8102,145.0451,Southern Metropolitan
5865,Kew,51 Rowland St,2,h,4800000.0,5.6,3101,2,1,697,Boroondara City Council,-37.812,145.0547,Southern Metropolitan
5868,Kew,7/1245 Burke Rd,2,u,562500.0,5.6,3101,2,1,0,Boroondara City Council,-37.8099,145.0606,Southern Metropolitan
5870,Kew,30/20 Pakington St,2,u,520000.0,5.6,3101,1,1,0,Boroondara City Council,-37.804,145.0347,Southern Metropolitan
5872,Kew,9 Ross St,5,h,4350000.0,5.6,3101,3,2,853,Boroondara City Council,-37.8151,145.0555,Southern Metropolitan
5873,Kew,8 Campbell St,3,h,1528500.0,5.6,3101,1,1,375,Boroondara City Council,-37.8015,145.0505,Southern Metropolitan
5874,Kew,3/81 Derby St,2,u,630000.0,5.6,3101,1,2,91,Boroondara City Council,-37.8003,145.0375,Southern Metropolitan
5875,Kew,43 Fernhurst Gr,4,h,1690000.0,5.6,3101,3,1,358,Boroondara City Council,-37.8034,145.0283,Southern Metropolitan
5877,Kew,2/27 Pakington St,2,u,610000.0,5.6,3101,1,1,745,Boroondara City Council,-37.8024,145.0346,Southern Metropolitan
5879,Kew,6 Wellington St,3,h,1490000.0,5.6,3101,2,2,597,Boroondara City Council,-37.8093,145.0299,Southern Metropolitan
5884,Kew,14/25 Derby St,2,u,588000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8034,145.0369,Southern Metropolitan
5887,Kew,4/76 Studley Park Rd,3,u,882000.0,5.6,3101,2,2,0,Boroondara City Council,-37.8064,145.0182,Southern Metropolitan
5888,Kew,4/11 Bowen St,2,u,831000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8117,145.0222,Southern Metropolitan
5889,Kew,57 Cobden St,4,h,2130000.0,5.6,3101,2,2,649,Boroondara City Council,-37.802,145.036,Southern Metropolitan
5891,Kew,11/912 Glenferrie Rd,2,u,650000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8083,145.0382,Southern Metropolitan
5892,Kew,2/380 High St,2,u,599000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8046,145.0375,Southern Metropolitan
5894,Kew,13/54 Studley Park Rd,2,u,820000.0,5.6,3101,1,2,0,Boroondara City Council,-37.8066,145.0211,Southern Metropolitan
5897,Kew,71 Cecil St,4,h,2200000.0,5.6,3101,1,2,735,Boroondara City Council,-37.8028,145.0534,Southern Metropolitan
5901,Kew,94 Argyle Rd,4,h,3550000.0,5.6,3101,3,4,992,Boroondara City Council,-37.8046,145.0603,Southern Metropolitan
5902,Kew,73 Cobden St,2,h,1326000.0,5.6,3101,1,2,405,Boroondara City Council,-37.8012,145.0361,Southern Metropolitan
5905,Kew,4/4 St Johns Pde,2,u,610000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8092,145.0366,Southern Metropolitan
5906,Kew,7 Clevedon Ct,4,h,1950000.0,5.6,3101,2,2,400,Boroondara City Council,-37.8147,145.0438,Southern Metropolitan
5908,Kew,23 Campbell St,3,h,1875000.0,5.6,3101,2,2,426,Boroondara City Council,-37.8012,145.0514,Southern Metropolitan
5909,Kew,16 Charles St,5,h,2850000.0,5.6,3101,2,2,815,Boroondara City Council,-37.8118,145.035,Southern Metropolitan
5911,Kew,4 Franks Gr,4,h,2550000.0,5.6,3101,2,2,603,Boroondara City Council,-37.8095,145.0391,Southern Metropolitan
5915,Kew,8 Merrion Pl,3,h,1878000.0,5.6,3101,2,1,392,Boroondara City Council,-37.8081,145.0263,Southern Metropolitan
5918,Kew,75 Derby St,4,h,1910000.0,5.6,3101,3,2,277,Boroondara City Council,-37.8007,145.0374,Southern Metropolitan
5920,Kew,17 Gladstone St,3,h,1410000.0,5.6,3101,1,2,304,Boroondara City Council,-37.8023,145.0404,Southern Metropolitan
5921,Kew,3/505 High St,2,u,515000.0,5.6,3101,1,1,743,Boroondara City Council,-37.8017,145.0445,Southern Metropolitan
5922,Kew,31 Miller Gr,3,h,2310000.0,5.6,3101,1,2,782,Boroondara City Council,-37.8107,145.0219,Southern Metropolitan
5923,Kew,3/8 Mountain Gr,2,h,890000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8128,145.0588,Southern Metropolitan
5924,Kew,47 Brougham St,3,h,1668000.0,5.6,3101,2,2,289,Boroondara City Council,-37.8048,145.0303,Southern Metropolitan
5925,Kew,88 Edgevale Rd,4,h,2315000.0,5.6,3101,2,0,364,Boroondara City Council,-37.8125,145.043,Southern Metropolitan
5926,Kew,1/204 Brougham St,3,t,800000.0,5.6,3101,2,2,848,Boroondara City Council,-37.796,145.0324,Southern Metropolitan
5929,Kew,15 Edgevale Rd,2,h,1950000.0,5.6,3101,1,4,596,Boroondara City Council,-37.8146,145.0419,Southern Metropolitan
5930,Kew,23 Grange Rd,5,h,4850000.0,5.6,3101,4,4,957,Boroondara City Council,-37.8112,145.057,Southern Metropolitan
5936,Kew,419 Barkers Rd,3,h,2770000.0,5.6,3101,3,4,1197,Boroondara City Council,-37.8168,145.056,Southern Metropolitan
5937,Kew,15 Barry St,6,h,6500000.0,5.6,3101,6,3,1334,Boroondara City Council,-37.8029,145.0267,Southern Metropolitan
5942,Kew,4/35 Studley Park Rd,2,u,580000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8071,145.0243,Southern Metropolitan
5944,Kew,4/24 Highbury Gr,2,u,525000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8054,145.0373,Southern Metropolitan
5945,Kew,3 Oshaughnessy St,3,h,1905000.0,5.6,3101,2,2,591,Boroondara City Council,-37.812,145.0268,Southern Metropolitan
5946,Kew,2/120 Princess St,2,u,478000.0,5.6,3101,1,1,0,Boroondara City Council,-37.7997,145.0304,Southern Metropolitan
5948,Kew,3/75 Alfred St,2,u,672000.0,5.6,3101,1,1,0,Boroondara City Council,-37.8108,145.0545,Southern Metropolitan
5949,Kew,33 Argyle Rd,4,h,2286000.0,5.6,3101,3,2,712,Boroondara City Council,-37.8034,145.0527,Southern Metropolitan
5954,Kew,71 Peel St,3,h,1575000.0,5.6,3101,2,2,397,Boroondara City Council,-37.8013,145.0335,Southern Metropolitan
5955,Kew,11/48 Princess St,2,u,590000.0,5.6,3101,1,1,0,Boroondara City Council,-37.805,145.0294,Southern Metropolitan
5957,Kew,2/54 Studley Park Rd,2,u,765000.0,5.6,3101,1,2,0,Boroondara City Council,-37.8066,145.0211,Southern Metropolitan
5958,Kew,76 Walpole St,2,h,1507000.0,5.6,3101,1,2,667,Boroondara City Council,-37.8007,145.0327,Southern Metropolitan
5962,Kew,2/147 Willsmere Rd,3,h,972500.0,5.6,3101,2,2,0,Boroondara City Council,-37.7925,145.0389,Southern Metropolitan
