Suburb,Price,Rooms,Distance,Bathroom,Car,Landsize,BuildingArea,Propertycount,Postcode
Wandin North,1150000.0,4.0,35.2,2.0,2.0,40500.0,,1130.0,3139
Wantirna,990754.7,3.6,14.7,2.0,2.1,722.7,179.6,5424.0,3152
Wantirna South,1056723.4,3.9,14.7,1.9,2.2,667.1,206.8,7082.0,3152
Warrandyte,1377416.7,3.9,21.1,2.3,1.8,2210.9,280.3,2003.0,3113
Warranwood,965000.0,4.2,19.9,2.0,2.0,921.0,197.0,1595.0,3134
Waterways,1103500.0,3.6,21.5,2.0,2.0,524.0,209.2,709.0,3195
Watsonia,764446.0,3.0,14.7,1.3,1.5,516.5,123.7,2329.0,3087
Watsonia North,801791.7,3.4,14.5,1.5,2.2,609.5,144.2,1442.0,3087
Wattle Glen,987500.0,4.5,23.6,2.0,2.0,601.0,189.0,642.0,3096
Werribee,526852.4,3.3,14.7,1.6,1.9,603.3,155.3,16166.0,3030
Werribee South,497500.0,3.0,14.7,3.0,2.0,1315.0,,821.0,3030
West Footscray,781485.1,2.8,7.4,1.2,1.8,371.0,131.5,5058.0,3012
West Melbourne,1076774.5,2.5,2.4,1.5,1.1,215.5,122.9,2230.0,3003
Westmeadows,627886.9,3.3,16.5,1.6,2.1,569.8,143.0,2474.0,3049
Wheelers Hill,1245478.2,4.0,16.7,2.2,2.1,732.5,228.5,7392.0,3150
Whittlesea,489000.0,3.2,35.5,1.7,1.3,972.0,135.0,2170.0,3757
Wildwood,1030000.0,5.0,31.7,2.0,2.0,89030.0,,83.0,3429
Williams Landing,625857.1,3.7,17.6,2.0,2.0,418.5,222.0,1999.0,3027
Williamstown,1343651.4,3.1,7.5,1.7,1.6,333.6,170.5,6380.0,3016
Williamstown North,904875.0,3.1,8.4,1.6,2.2,406.3,161.6,802.0,3016
Windsor,1029807.2,2.3,4.9,1.3,1.1,269.9,106.1,4380.0,3181
Wollert,590132.7,3.6,25.5,2.0,2.0,392.8,167.6,2940.0,3750
Wonga Park,1357500.0,3.7,25.2,2.0,2.0,19650.0,241.5,1328.0,3115
Wyndham Vale,511939.6,3.4,27.2,1.7,1.9,517.5,146.7,5262.0,3024
Yallambie,820861.1,3.4,14.3,1.8,1.7,591.5,161.3,1369.0,3085
Yarra Glen,620000.0,3.0,31.4,2.0,1.0,863.0,180.6,1160.0,3775
Yarraville,991245.0,2.9,6.7,1.4,1.5,325.6,127.9,6543.0,3013
croydon,730000.0,3.0,23.0,,,,,11925.0,3136
viewbank,885000.0,3.0,8.9,,,,,2698.0,3084
